Name,Mobile,Email,Points,Percentage,Cluster
Raj,8514860022,a@b.com,144,28.0,0
Ram,6786184499,x@y.com,504,84.0,1
Shyam,6324253106,g@h.com,521,97.0,1
Sita,8400305905,i@j.com,320,57.0,0
Gita,2320318473,m@n.com,120,19.0,0
Saloni,4978715481,y@z.com,168,25.0,0
Ramesh,7108842647,d@j.com,240,48.0,0
Prabha,6608133704,i@m.com,368,62.0,1
Vishnu,7629747921,l@m.com,522,90.0,1
Nayan,9897771349,i@k.com,496,97.0,1
Kinjal,8255012319,t@t.com,140,29.0,0
Priya,8058272103,o@q.com,311,60.0,0
Pooja,9334290602,r@j.com,475,87.0,1
Ravi,6388968597,d@o.com,152,31.0,0
Kishan,8306689853,a@v.com,329,55.0,0
Sahil,8200761037,sa@gmail.com,504,83.99,1
Sahil,8200761037,sa@gmail.com,504,83.99,1
Dev,1010101010,swa@gmail.com,145,28.0,0
Das,1010101011,sesda@gmail.com,168,29.0,0
Sahil,123467890,s@gmail.com,524,84.0,1
Sahil,9876543210,s@gmail.com,524,87.0,1
Aditya,8976541230,a@gmail.com,527,72.0,1
